numero_mesa,before_estado_acta,after_estado_acta,before_votos_emitidos,after_votos_emitidos,before_votos_validos,after_votos_validos
903796,Para envío al JEE,Contabilizada,,258,,141
903807,Para envío al JEE,Contabilizada,,268,,211
903812,Para envío al JEE,Para envío al JEE,,,,
903907,Para envío al JEE,Para envío al JEE,,,,
903960,Para envío al JEE,Contabilizada,,210,,161
903966,Para envío al JEE,Para envío al JEE,,,,
904006,Para envío al JEE,Para envío al JEE,,,,
904011,Para envío al JEE,Para envío al JEE,,,,
904017,Para envío al JEE,Para envío al JEE,,,,
904026,Para envío al JEE,Para envío al JEE,,,,
904033,Para envío al JEE,Para envío al JEE,,,,
904034,Para envío al JEE,Para envío al JEE,,,,
904038,Para envío al JEE,Para envío al JEE,,,,
904040,Para envío al JEE,Contabilizada,,211,,153
904042,Para envío al JEE,Contabilizada,,160,,37
904054,Para envío al JEE,Contabilizada,,156,,93
904062,Para envío al JEE,Para envío al JEE,,,,
904126,Para envío al JEE,Para envío al JEE,,,,
904127,Para envío al JEE,Para envío al JEE,,,,
904143,Para envío al JEE,Para envío al JEE,,,,
904366,Para envío al JEE,Para envío al JEE,,,,
904374,Para envío al JEE,Para envío al JEE,,,,
904376,Para envío al JEE,Para envío al JEE,,,,
904382,Para envío al JEE,Para envío al JEE,,,,
904385,Para envío al JEE,Para envío al JEE,,,,
904407,Para envío al JEE,Para envío al JEE,,,,
904431,Para envío al JEE,Para envío al JEE,,,,
904444,Para envío al JEE,Para envío al JEE,,,,
904447,Para envío al JEE,Para envío al JEE,,,,
904449,Para envío al JEE,Para envío al JEE,,,,
904457,Para envío al JEE,Para envío al JEE,,,,
904474,Para envío al JEE,Para envío al JEE,,,,
904500,Para envío al JEE,Para envío al JEE,,,,
904508,Para envío al JEE,Para envío al JEE,,,,
904548,Para envío al JEE,Para envío al JEE,,,,
904551,Para envío al JEE,Para envío al JEE,,,,
904556,Para envío al JEE,Para envío al JEE,,,,
904628,Para envío al JEE,Para envío al JEE,,,,
904631,Para envío al JEE,Para envío al JEE,,,,
904636,Para envío al JEE,Para envío al JEE,,,,
904643,Para envío al JEE,Para envío al JEE,,,,
904645,Para envío al JEE,Para envío al JEE,,,,
904650,Para envío al JEE,Para envío al JEE,,,,
904653,Para envío al JEE,Para envío al JEE,,,,
904654,Para envío al JEE,Para envío al JEE,,,,
904666,Para envío al JEE,Para envío al JEE,,,,
