ambito,region,provincia,distrito,numero_local,nombre_local,estado_mesa_pdf,numero_mesa,presidencial_estado_acta,presidencial_electores_habiles,presidencial_votos_emitidos,presidencial_votos_validos,presidencial_participacion_pct,presidencial_centro_poblado,presidencial_local_web,presidencial_alianza_electoral_venceremos,presidencial_partido_patriotico_del_peru,presidencial_partido_civico_obras,presidencial_frente_popular_agricola_fia_del_peru,presidencial_partido_democrata_verde,presidencial_partido_del_buen_gobierno,presidencial_partido_politico_peru_accion,presidencial_partido_politico_prin,presidencial_progresemos,presidencial_partido_sicreo,presidencial_partido_pais_para_todos,presidencial_partido_frente_de_la_esperanza_2021,presidencial_partido_politico_nacional_peru_libre,presidencial_partido_ciudadanos_por_el_peru,presidencial_primero_la_gente_comunidad_ecologia_libertad_y_progreso,presidencial_juntos_por_el_peru,presidencial_podemos_peru,presidencial_partido_democratico_federal,presidencial_fe_en_el_peru,presidencial_partido_politico_integridad_democratica,presidencial_fuerza_popular,presidencial_alianza_para_el_progreso,presidencial_partido_politico_cooperacion_popular,presidencial_ahora_nacion_an,presidencial_libertad_popular,presidencial_un_camino_diferente,presidencial_avanza_pais_partido_de_integracion_social,presidencial_peru_moderno,presidencial_partido_politico_peru_primero,presidencial_salvemos_al_peru,presidencial_partido_democratico_somos_peru,presidencial_partido_aprista_peruano,presidencial_renovacion_popular,presidencial_partido_democrata_unido_peru,presidencial_fuerza_y_libertad,presidencial_partido_de_los_trabajadores_y_emprendedores_pte_peru,presidencial_unidad_nacional,presidencial_partido_morado,presidencial_votos_blanco,presidencial_votos_nulos,presidencial_votos_impugnados
PERÚ,ANCASH,ANTONIO RAIMONDI,MIRGAS,54104,IE 86738 EL AMAUTA JOSÉ MARÍA ARGUEDAS ALTAMIRANO,Instalada,900409,Para envío al JEE,187,,,0.0,SAN MARTIN DE PUNCA,IE 86738 EL AMAUTA JOSÉ MARÍA ARGUEDAS ALTAMIRANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,40958,IEI 330 RANCHAJ,Instalada,900424,Para envío al JEE,213,,,0.0,RANCHAJ,IEI 330 RANCHAJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,ANCASH,ASUNCION,ACOCHACA,50025,IE MARIA AUXILIADORA,Instalada,900430,Para envío al JEE,201,,,0.0,SAPCHA,IE MARIA AUXILIADORA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,ANCASH,SIHUAS,HUAYLLABAMBA,54575,IE 84257 PATRON SAN MIGUEL ARCANGEL,Instalada,900547,Para envío al JEE,244,,,0.0,PACHAVILCA,IE 84257 PATRON SAN MIGUEL ARCANGEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,ANCASH,SIHUAS,QUICHES,55077,IE 84183 VICTOR ANDRES ROJAS FLORES,Instalada,900549,Para envío al JEE,254,,,0.0,CONDORCERRO,IE 84183 VICTOR ANDRES ROJAS FLORES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,ANCASH,SIHUAS,RAGASH,51917,IE 84210 JOSE OLAYA,Instalada,900555,Contabilizada,174,136,95,78.161,QUINGAO,IE 84210 JOSE OLAYA,1,1,5,0,1,0,0,0,0,0,1,0,2,0,0,64,7,0,0,0,1,0,0,1,1,0,0,0,0,0,5,0,1,4,0,0,0,0,28,13,0
PERÚ,ANCASH,SIHUAS,SAN JUAN,373,IE 84228 JOSE ANTONIO ENCINAS,Instalada,900559,Contabilizada,238,165,102,69.328,PARIASHPAMPA,IE 84228 JOSE ANTONIO ENCINAS,1,0,5,0,2,1,0,0,0,0,3,2,0,0,0,47,17,0,2,0,13,1,0,0,0,0,0,1,0,0,4,0,1,2,0,0,0,0,43,20,0
PERÚ,ANCASH,SIHUAS,SAN JUAN,50045,IE 84227 SAN ANTONIO,Instalada,900566,Contabilizada,255,183,99,71.765,CHINCHOBAMBA,IE 84227 SAN ANTONIO,2,1,3,0,1,1,1,0,1,0,4,4,1,0,0,40,9,0,0,0,20,2,0,4,0,0,0,0,1,0,4,0,0,0,0,0,0,0,60,24,0
PERÚ,ANCASH,PALLASCA,PAMPAS,283,IE 88186,Instalada,900608,Contabilizada,294,187,140,63.605,MONGON,IE 88186,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0,113,7,0,1,0,1,0,1,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,43,4,0
PERÚ,ANCASH,SANTA,CHIMBOTE,8339,IE 88046 JOSE CARLOS MARIATEGUI,Instalada,900621,Para envío al JEE,280,,,0.0,CAMBIO PUENTE Y ANEXOS,IE 88046 JOSE CARLOS MARIATEGUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,APURIMAC,CHINCHEROS,ANCO HUALLO,564,IE MIGUEL GRAU SEMINARIO,Instalada,900755,Para envío al JEE,156,,,0.0,MUÑAPUCRO,IE MIGUEL GRAU SEMINARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,APURIMAC,COTABAMBAS,TAMBOBAMBA,526,IE 50650 DE ASACASI,Instalada,900767,Para envío al JEE,169,,,0.0,ASACASI,IE 50650 DE ASACASI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,AYACUCHO,HUAMANGA,VINCHOS,51440,IE JOSE OLAYA - PUTAQA,Instalada,900936,Contabilizada,294,230,161,78.231,PUTACCA,IE JOSE OLAYA - PUTAQA,7,1,4,0,0,1,0,0,3,0,0,1,3,0,0,101,3,0,2,0,11,2,2,6,4,0,0,0,2,0,1,0,5,2,0,0,0,0,47,22,0
PERÚ,AYACUCHO,HUAMANGA,ACOCRO,53689,IE CORONEL SANTIAGO MARCELINO CARREÑO,Instalada,900952,Para envío al JEE,237,,,0.0,JESUS NAZARENO DE CHONTACA,IE CORONEL SANTIAGO MARCELINO CARREÑO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CAJAMARCA,CAJABAMBA,SITACOCHA,5683,IE 82389,Instalada,901184,Para envío al JEE,203,,,0.0,HUAMBORCO,IE 82389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CAJAMARCA,CAJABAMBA,SITACOCHA,52285,IE 82388,Instalada,901185,Para envío al JEE,225,,,0.0,SANTA ROSA DE CRISNEJAS,IE 82388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CAJAMARCA,CELENDIN,CORTEGANA,1095,IE ABRAHAM VALDELOMAR,Instalada,901189,Contabilizada,212,126,88,59.434,VILLANUEVA,IE ABRAHAM VALDELOMAR,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,66,5,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,11,0
PERÚ,CAJAMARCA,CELENDIN,HUASMIN,1099,IE JEREZ,Instalada,901200,Contabilizada,234,77,57,32.906,JEREZ,IE JEREZ,0,0,7,0,0,0,0,1,0,1,0,0,0,0,0,41,0,0,0,0,1,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,20,0,0
PERÚ,CAJAMARCA,CELENDIN,HUASMIN,50073,IE 821056,Instalada,901212,Contabilizada,238,166,120,69.748,SANTA ROSA,IE 821056,0,0,5,0,0,1,1,1,0,0,1,0,3,0,1,94,3,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,0,36,10,0
PERÚ,CAJAMARCA,CELENDIN,HUASMIN,50073,IE 821056,Instalada,901214,Contabilizada,270,209,160,77.407,SANTA ROSA,IE 821056,0,1,7,0,0,0,0,0,0,0,0,0,2,0,0,133,2,0,0,0,6,0,1,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,32,17,0
PERÚ,CAJAMARCA,CELENDIN,SOROCHUCO,55196,IE 82426 - CCPP SAN JUAN DE REJOPAMPA,Instalada,901250,Para envío al JEE,251,,,0.0,SAN JUAN DE REJOPAMPA,IE 82426 - CCPP SAN JUAN DE REJOPAMPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
